"PROCEDIMENTO","RN  (alteração)","VIGÊNCIA","OD","AMB","HCO","HSO","REF","PAC","DUT","SUBGRUPO","GRUPO","CAPÍTULO"
"ACONSELHAMENTO GENÉTICO","","","","AMB","HCO","HSO","REF","","","CONSULTAS, VISITAS HOSPITALARES OU  ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"ATENDIMENTO/ACOMPANHAMENTO EM HOSPITAL-DIA PSIQUIÁTRICO (COM DIRETRIZ DE UTILIZAÇÃO)","","","","","HCO","HSO","REF","","109","CONSULTAS, VISITAS HOSPITALARES OU  ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"ATENDIMENTO INTEGRAL AO RECÉM-NASCIDO (SALA DE PARTO, BERÇÁRIO E UTI)","","","","","HCO","","REF","","","CONSULTAS, VISITAS HOSPITALARES OU  ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA","","","","","HCO","HSO","REF","","","CONSULTAS, VISITAS HOSPITALARES OU  ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"ATENDIMENTO PEDIÁTRICO A GESTANTES (3º TRIMESTRE)","","","","AMB","HCO","","REF","","","CONSULTAS, VISITAS HOSPITALARES OU  ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"ATIVIDADE EDUCACIONAL PARA PLANEJAMENTO FAMILIAR","","","","AMB","","","REF","","","CONSULTAS, VISITAS HOSPITALARES OU  ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"ATIVIDADE EDUCATIVA EM SAÚDE BUCAL","","","OD","","","","","","","CONSULTAS, VISITAS HOSPITALARES OU  ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"ATIVIDADE EDUCATIVA EM ODONTOLOGIA PARA PAIS E/OU CUIDADORES DE PACIENTES COM NECESSIDADES  ESPECIAIS","","","OD","","","","","","","CONSULTAS, VISITAS HOSPITALARES OU  ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"CONDICIONAMENTO EM ODONTOLOGIA (COM DIRETRIZ DE UTILIZAÇÃO)","","","OD","","","","","","86","CONSULTAS, VISITAS HOSPITALARES OU  ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"ESTABILIZAÇÃO DE PACIENTE POR MEIO DE CONTENÇÃO FÍSICA E/OU MECÂNICA","","","OD","","","","","","","CONSULTAS, VISITAS HOSPITALARES OU  ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR","","","","AMB","","","REF","","","CONSULTAS, VISITAS HOSPITALARES OU  ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
